DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0001,01/08/2024 09:19,Dissolved Chloride,16887-00-6,,20.6,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0001,01/08/2024 09:19,Total Dissolved Solids,0,,313,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0001,01/08/2024 09:19,Total Suspended Solids,0,,34,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0001,01/08/2024 09:19,Field Chlorophyll Volume,0,, 250,,mL,Chlorophyll Volume Filtered [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0006,01/08/2024 09:19,Field Chlorophyll Volume,0,, 250,,mL,Chlorophyll Volume Filtered [1]*,0 Meters,"Water, Natural","Replicate (Split), Spec. Analyte(s)",ES0124B0001,,,
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0006,01/08/2024 09:19,Field Specific Conductance,0,, 480,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural","Replicate (Split), Spec. Analyte(s)",ES0124B0001,,,
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0001,01/08/2024 09:19,Field Specific Conductance,0,, 480,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
0330,"1000 - Non-Public, Review Status Unknown",Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0124B0001,01/08/2024 09:19,Field Water Temperature,0,, 8.5,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0002,01/08/2024 13:53,Dissolved Chloride,16887-00-6,Y,19.7,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0002,01/08/2024 13:53,Dissolved Chloride,16887-00-6,,19.7,5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0002,01/08/2024 13:53,Total Dissolved Solids,0,,294,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0002,01/08/2024 13:53,Total Suspended Solids,0,,25.9,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,Duplicate,N
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0002,01/08/2024 13:53,Total Suspended Solids,0,Y,24.6,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0007,01/08/2024 13:53,Field Chlorophyll Volume,0,, 250,,mL,Chlorophyll Volume Filtered [1]*,0 Meters,"Water, Natural","Replicate (Split), Spec. Analyte(s)",ES0124B0002,,,
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0002,01/08/2024 13:53,Field Chlorophyll Volume,0,, 250,,mL,Chlorophyll Volume Filtered [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
0330,"1000 - Non-Public, Review Status Unknown",Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,ES0124B0007,01/08/2024 13:53,Field Specific Conductance,0,, 465,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural","Replicate (Split), Spec. Analyte(s)",ES0124B0002,,,
