DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Dissolved Bromide,24959-67-9,,<0.1,0.1,mg/L,EPA 300.0 [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Dissolved Chloride,16887-00-6,,1.36,1,mg/L,EPA 300.0 [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Specific Conductance,0,,157,5,µmhos/cm@25°C,Std Method 2510-B [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Total Dissolved Solids,0,,129,2.5,mg/L,Std Method 2540 C [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Dissolved Sulfate,14808-79-8,,8.69,1,mg/L,EPA 300.0 [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Field Specific Conductance,0,, 163,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Field Dissolved Oxygen,0,, 3.46,,mg/L,ASTM Method D888-09-C (Field) [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Field pH,0,, 7.17,,pH Units,SM 4500-H B-2000 (Field) [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Field Water Temperature,0,, 19.1,,°C,EPA 170.1 (Field) [1]*,70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown","Sutter County Monitoring Well 3A, (64-74 ft BGS)",Sutter County MW-3A,16N03E17J001M,CH1223B0117,01/30/2024 12:15,Field Turbidity,0,, 0.29,,F.N.U.,"Turbidity, Sonde [D-2]*",70 Feet,"Water, Natural",Normal Sample,0,"All Dissolved Antimony data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Antimony (Parent: 3.83 ug/L, Dup: 5.2 ug/L, RPD: 30.3%). 

All Dissolved Vandadium data collected during run on 1/30/2024 do not meet duplicate validation standards. RPD test failed at 16N03E17J002M on 1/30/2024 (CH1223B0118) for Dissolved Vanadium (Parent: 12.1 ug/L, Dup: 15.9 ug/L, RPD: 27.1%). 

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/30/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
