DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Dissolved Bromide,24959-67-9,,0.606,0.1,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Dissolved Chloride,16887-00-6,,190,10,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Total Suspended Solids,0,Y,2.7,2.5,mg/L,Std Method 2540 D [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Total Suspended Solids,0,,2.7,2.5,mg/L,Std Method 2540 D [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Field Chlorophyll Volume,0,, 500,,mL,Chlorophyll Volume Filtered [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Field Specific Conductance,0,, 839,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Field Dissolved Oxygen,0,, 9.47,,mg/L,ASTM Method D888-09-C (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Field pH,0,, 7.39,,pH Units,SM 4500-H B-2000 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Field Water Temperature,0,, 11.105,,°C,EPA 170.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,
6301,"3500 - Public, Reviewed and Validated",Old River near Bacon Island @ USGS Pile,OBI @ USGS Pile,B9D75821343A,CF0124B0009,01/04/2024 10:37,Field Turbidity,0,, 2.11,,F.N.U.,"Turbidity, Sonde [D-2]*",1 Meters,"Water, Natural",Normal Sample,0,,,
6301,"3500 - Public, Reviewed and Validated",Holland Cut near Bethel Island,Holland Cut Nr BI,B9D80101349,CF0124B0003,01/04/2024 11:15,Dissolved Bromide,24959-67-9,,0.805,0.1,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,,,N
