DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Dissolved Bromide,24959-67-9,,0.328,0.1,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Dissolved Chloride,16887-00-6,,106,5,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Specific Conductance,0,,582,5,µmhos/cm@25°C,Std Method 2510-B [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Dissolved Nitrate,14797-55-8,,2.68,0.5,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Total Dissolved Solids,0,Y,325,2.5,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Total Dissolved Solids,0,,324,2.5,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Total Suspended Solids,0,,<2.5,2.5,mg/L,Std Method 2540 D [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Dissolved Sulfate,14808-79-8,,34.6,5,mg/L,EPA 300.0 [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,N
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Field Specific Conductance,0,, 431,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Field Dissolved Oxygen,0,, 1.55,,mg/L,ASTM Method D888-09-C (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Field pH,0,, 9.2,,pH Units,EPA 150.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,
2040,"3000 - Public, Review Status Unknown",Teerink Pumping Plant,Teerink PP,KA027813,SJ0124B0001,01/16/2024 09:01,Field Water Temperature,0,, 17.2,,°C,EPA 170.1 (Field) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Monthly O&M,,
