DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Dissolved Chloride,16887-00-6,,241,100,mg/L,EPA 300.0 [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,N
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Specific Conductance,0,,2890,5,µmhos/cm@25°C,Std Method 2510-B [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,N
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Total Dissolved Solids,0,,1880,2.5,mg/L,Std Method 2540 C [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,N
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Dissolved Sulfate,14808-79-8,,477,100,mg/L,EPA 300.0 [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,N
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Field Water Color (Description),0,,Clear,,,Field Observations (Water) [T]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Field Specific Conductance,0,, 5804,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Field Crop Height (Range),0,,24,,inches,Agricultural Observations [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Field CROP,0,,Cotton,,,Agricultural Observations [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Field Status,0,,Planted,,,Agricultural Observations [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,
7200,"1000 - Non-Public, Review Status Unknown",TILE DRAIN VGD4806  ,TD VGD4806,VGD4806,F0823B0302,08/21/2023 09:59,Field Irrigation Status,0,,Dry,,,Agricultural Observations [1]*,1 Feet,"Water, Natural",Normal Sample,0,Tile Drain,,
